"","serial","GPS_date_YYYY.MM.DD","GPS_utc_HH.MM.SS","GPS_YYYY.MM.DD_HH.MM.SS","lat","lon","hdop","fix","cog","speed","alt","data_voltage","solar_charge","solar_current","nsats","vdop","geo","activity","inactivity","temperature","time_to_fix","Name"
"1",89460800120136630272,"2022-07-30","19:24:08","2022-07-30 19:24:08",46.982555,-123.967827,0.97,3,0,0.99,6,4.06,4.95,0,12,1.56,NA,51,NA,32,6,665
"2",89460800120136630272,"2022-07-30","19:08:55","2022-07-30 19:08:55",46.98254,-123.970154,1.05,3,8,1.02,-17,4.07,5.03,0,12,1.28,NA,27,NA,30,7,665
"3",89460800120136630272,"2022-07-30","18:53:41","2022-07-30 18:53:41",46.982273,-123.972626,0.91,3,23,1.48,0,4.07,5.67,0,12,1.26,NA,38,NA,31,6,665
"4",89460800120136630272,"2022-07-30","18:38:28","2022-07-30 18:38:28",46.982292,-123.973984,1.38,3,356,0.39,-13,4.07,5.4,0,11,1.93,NA,46,NA,33,6,665
"5",89460800120136630272,"2022-07-30","18:23:15","2022-07-30 18:23:15",46.982201,-123.974251,0.92,3,345,0.04,8,4.07,5.68,11,12,1.6,NA,2,NA,33,6,665
"6",89460800120136630272,"2022-07-30","18:08:02","2022-07-30 18:08:02",46.982159,-123.975014,0.98,3,354,0.95,16,4.06,4.75,0,11,1.56,NA,0,NA,29,10,665
"7",89460800120136630272,"2022-07-30","17:52:45","2022-07-30 17:52:45",46.982033,-123.974945,0.99,3,329,0.8,9,4.07,4.53,0,12,1.22,NA,0,NA,29,8,665
"8",89460800120136630272,"2022-07-30","17:37:30","2022-07-30 17:37:30",46.982018,-123.974976,1.64,3,8,2.53,2,4.07,4.38,0,9,2.54,NA,0,NA,28,8,665
"9",89460800120136630272,"2022-07-30","17:22:15","2022-07-30 17:22:15",46.982197,-123.975159,1.05,3,352,0.78,-42,4.07,3.72,0,12,1.87,NA,0,NA,29,7,665
"10",89460800120136630272,"2022-07-30","17:07:01","2022-07-30 17:07:01",46.982162,-123.975021,1.11,3,0,0.51,-20,4.07,3.57,0,9,2.47,NA,0,NA,29,14,665
"11",89460800120136630272,"2022-07-30","00:17:00","2022-07-30 00:17:00",46.982216,-123.975136,1.41,3,359,1.43,-9,4.14,4.06,0,9,1.54,NA,24,NA,31,5,665
"12",89460800120136630272,"2022-07-30","00:01:47","2022-07-30 00:01:47",46.982288,-123.974426,1.46,3,5,2.17,-13,4.13,4.13,0,9,1.95,NA,4,NA,35,5,665
"13",89460800120136630272,"2022-07-29","23:46:33","2022-07-29 23:46:33",46.982273,-123.974411,1.36,3,0,0.51,-9,4.14,5.21,0,10,1.73,NA,8,NA,37,6,665
"14",89460800120136630272,"2022-07-29","23:31:20","2022-07-29 23:31:20",46.982273,-123.974396,1.63,3,83,0.41,-10,4.13,5.67,4,9,1.88,NA,1,NA,36,6,665
"15",89460800120136630272,"2022-07-29","23:16:07","2022-07-29 23:16:07",46.98225,-123.974373,1.23,3,337,0.75,-16,4.13,4.77,0,10,1.58,NA,61,NA,35,6,665
"16",89460800120136630272,"2022-07-29","23:00:54","2022-07-29 23:00:54",46.982285,-123.973892,1.21,3,129,0.77,-30,4.13,5.94,10,10,1.77,NA,32,NA,35,6,665
"17",89460800120136630272,"2022-07-29","22:45:41","2022-07-29 22:45:41",46.982246,-123.973976,1.15,3,336,0.63,-9,4.12,4.97,0,11,1.59,NA,16,NA,34,6,665
"18",89460800120136630272,"2022-07-29","22:30:28","2022-07-29 22:30:28",46.982323,-123.973961,1.33,3,328,1.03,-13,4.13,5.05,1,10,1.73,NA,25,NA,35,6,665
"19",89460800120136630272,"2022-07-29","22:15:15","2022-07-29 22:15:15",46.9823,-123.973839,1.11,3,352,1.74,-24,4.12,6.2,9,10,1.8,NA,14,NA,39,7,665
"20",89460800120136630272,"2022-07-29","22:00:01","2022-07-29 22:00:01",46.982315,-123.973763,1.02,3,332,0.4,-6,4.11,5.45,0,12,1.57,NA,18,NA,40,7,665
"21",89460800120136630272,"2022-07-29","21:44:47","2022-07-29 21:44:47",46.982296,-123.973778,1.46,3,355,1.28,-4,4.11,5.21,1,11,1.71,NA,9,NA,39,7,665
"22",89460800120136630272,"2022-07-29","21:29:33","2022-07-29 21:29:33",46.982269,-123.973679,1.23,3,0,0.77,-2,4.12,4.83,0,11,1.28,NA,14,NA,38,7,665
"23",89460800120136630272,"2022-07-29","21:14:19","2022-07-29 21:14:19",46.982121,-123.974182,1.06,3,356,0.62,12,4.12,5.68,14,12,1.24,NA,3,NA,43,6,665
"24",89460800120136630272,"2022-07-29","20:59:06","2022-07-29 20:59:06",46.982121,-123.974205,1.05,3,22,0.25,12,4.12,6.06,7,12,1.18,NA,27,NA,33,6,665
"25",89460800120136630272,"2022-07-29","20:43:53","2022-07-29 20:43:53",46.982159,-123.975548,1.06,3,274,0.9,-3,4.12,4.51,0,12,1.32,NA,58,NA,29,7,665
"26",89460800120136630272,"2022-07-29","20:28:39","2022-07-29 20:28:39",46.982174,-123.976807,1.04,3,307,1.92,4,4.11,4.57,0,12,1.47,NA,290,NA,33,8,665
"27",89460800120136630272,"2022-07-29","20:13:24","2022-07-29 20:13:24",46.982189,-123.979492,1.79,3,0,1.56,9,4.12,5.15,0,9,2.06,NA,0,NA,36,8,665
"28",89460800120136630272,"2022-07-29","19:58:09","2022-07-29 19:58:09",46.982174,-123.979584,1.31,3,0,0.29,7,4.11,6.08,10,9,2.38,NA,48,NA,31,12,665
"29",89460800120136630272,"2022-07-29","19:42:50","2022-07-29 19:42:50",46.982182,-123.979591,1.47,3,2,0.41,13,4.12,5.09,1,9,2.8,NA,48,NA,30,6,665
"30",89460800120136630272,"2022-07-29","19:27:42","2022-07-29 19:27:42",46.98238,-123.979858,1.58,3,0,0.27,27,4.1,4.82,0,9,2.91,NA,126,NA,29,15,665
"31",89460800120136630272,"2022-07-29","19:12:19","2022-07-29 19:12:19",46.98193,-123.98037,1.26,3,0,0.56,77,4.13,4.69,0,11,1.96,NA,84,NA,30,16,665
"32",89460800120136630272,"2022-07-29","18:56:55","2022-07-29 18:56:55",46.982109,-123.981354,1.64,3,353,0.67,1,4.12,4.78,0,12,2.43,NA,225,NA,33,10,665
"33",89460800120136630272,"2022-07-29","18:41:37","2022-07-29 18:41:37",46.981766,-123.982651,1.3,3,227,2.14,40,4.12,5.69,0,10,1.65,NA,22,NA,34,9,665
"34",89460800120136630272,"2022-07-29","18:26:20","2022-07-29 18:26:20",46.981575,-123.982414,1.63,3,338,2.36,39,4.12,5.93,0,10,2.15,NA,82,NA,30,7,665
"35",89460800120136630272,"2022-07-29","18:11:05","2022-07-29 18:11:05",46.981686,-123.98185,1.68,3,140,0.39,48,4.12,5.04,0,11,2.36,NA,27,NA,25,13,665
"36",89460800120136630272,"2022-07-29","17:55:44","2022-07-29 17:55:44",46.981739,-123.981834,1,3,0,1.01,64,4.12,4.53,0,11,1.34,NA,0,NA,25,12,665
"37",89460800120136630272,"2022-07-29","17:40:24","2022-07-29 17:40:24",46.982147,-123.981956,1.08,3,48,0.34,-37,4.12,4.49,0,11,1.8,NA,49,NA,25,7,665
"38",89460800120136630272,"2022-07-29","17:25:09","2022-07-29 17:25:09",46.982113,-123.981728,2.02,3,0,0.79,0,4.11,3.93,0,9,2.66,NA,0,NA,25,6,665
"39",89460800120136630272,"2022-07-29","17:09:55","2022-07-29 17:09:55",46.981945,-123.981323,1.3,3,0,0.37,127,4.11,3.06,0,9,2.46,NA,0,NA,25,6,665
"40",89460800120136630272,"2022-07-29","16:54:41","2022-07-29 16:54:41",46.981831,-123.981544,0.9,3,2,1.41,89,4.11,3.78,0,11,1.94,NA,0,NA,26,7,665
"41",89460800120136630272,"2022-07-29","16:39:26","2022-07-29 16:39:26",46.981701,-123.981506,0.97,3,0,0.68,111,4.11,3.74,0,10,1.75,NA,0,NA,27,6,665
"42",89460800120136630272,"2022-07-29","16:24:12","2022-07-29 16:24:12",46.98177,-123.981682,1.5,3,0,0.81,97,4.12,3.23,0,10,2.47,NA,0,NA,29,6,665
"43",89460800120136630272,"2022-07-29","16:08:58","2022-07-29 16:08:58",46.981438,-123.981842,1.42,3,0,1.41,102,4.11,2.11,0,9,2.13,NA,0,NA,31,12,665
"44",89460800120136630272,"2022-07-29","15:54:08","2022-07-29 15:54:08",46.981407,-123.982018,1.99,3,0,2.45,118,4.11,2.37,0,6,2.94,NA,0,NA,32,23,665
"45",89460800120136630272,"2022-07-29","15:38:37","2022-07-29 15:38:37",46.981651,-123.981537,1.6,3,0,1.65,57,4.12,2.06,0,8,1.56,NA,0,NA,31,13,665
"46",89460800120136630272,"2022-07-29","15:23:46","2022-07-29 15:23:46",46.981468,-123.981819,1.81,3,0,1.79,51,4.11,2.47,0,7,1.56,NA,0,NA,32,24,665
"47",89460800120136630272,"2022-07-29","15:08:14","2022-07-29 15:08:14",46.981606,-123.98185,1.88,3,0,1.51,39,4.12,1.36,0,8,1.76,NA,0,NA,32,14,665
"48",89460800120136630272,"2022-07-29","14:53:22","2022-07-29 14:53:22",46.981937,-123.981934,1.32,3,0,1.08,-35,4.1,1.3,0,8,1.8,NA,0,NA,32,28,665
"49",89460800120136630272,"2022-07-29","14:38:46","2022-07-29 14:38:46",46.982071,-123.981644,1.61,3,0,0.29,-27,4.11,1.35,0,7,1.96,NA,0,NA,32,73,665
"50",89460800120136630272,"2022-07-29","14:22:25","2022-07-29 14:22:25",46.982559,-123.982964,2.41,3,0,0.25,-149,4.12,1.06,0,6,2.89,NA,0,NA,32,14,665
"51",89460800120136630272,"2022-07-29","14:07:33","2022-07-29 14:07:33",46.982742,-123.982414,1.65,3,285,1.45,-119,4.12,0.84,0,7,2.31,NA,0,NA,32,39,665
"52",89460800120136630272,"2022-07-29","13:52:16","2022-07-29 13:52:16",46.982903,-123.98201,1.51,3,0,0.19,-383,4.11,0.68,0,7,5.35,NA,3,NA,32,37,665
"53",89460800120136630272,"2022-07-29","13:37:31","2022-07-29 13:37:31",46.982773,-123.98172,1.58,3,0,0.37,-161,4.11,0.6,0,7,4.96,NA,0,NA,32,54,665
"54",89460800120136630272,"2022-07-29","13:21:29","2022-07-29 13:21:29",46.982738,-123.981468,1.26,3,0,3.33,-121,4.11,0.3,0,8,1.73,NA,0,NA,31,12,665
"55",89460800120136630272,"2022-07-29","13:06:39","2022-07-29 13:06:39",46.982796,-123.981819,1.13,3,322,2.6,-134,4.11,0.2,0,7,1.72,NA,0,NA,32,40,665
"56",89460800120136630272,"2022-07-29","12:50:51","2022-07-29 12:50:51",46.982613,-123.981133,1.5,3,0,1.94,-53,4.12,0.08,0,8,1.88,NA,0,NA,31,19,665
"57",89460800120136630272,"2022-07-29","12:35:24","2022-07-29 12:35:24",46.983284,-123.981987,1.38,3,0,1.17,-119,4.1,0.05,0,9,1.46,NA,0,NA,31,20,665
"58",89460800120136630272,"2022-07-29","12:19:56","2022-07-29 12:19:56",46.98262,-123.981255,1.26,3,0,0.95,-50,4.13,0.03,0,8,1.6,NA,0,NA,32,17,665
"59",89460800120136630272,"2022-07-29","12:04:31","2022-07-29 12:04:31",46.982693,-123.981522,1.23,3,0,1.45,-78,4.12,0.03,0,9,1.59,NA,0,NA,31,20,665
"60",89460800120136630272,"2022-07-29","11:49:03","2022-07-29 11:49:03",46.982338,-123.981812,1.5,3,313,2.65,-4,4.1,0.03,0,8,1.54,NA,0,NA,31,13,665
"61",89460800120136630272,"2022-07-29","11:34:42","2022-07-29 11:34:42",46.982712,-123.982246,2.35,3,325,2.59,-45,4.13,0.03,0,8,2.57,NA,2,NA,32,75,665
"62",89460800120136630272,"2022-07-29","05:10:40","2022-07-29 05:10:40",46.981785,-123.981186,1.34,3,0,0.66,2,4.12,0.03,0,7,1.98,NA,0,NA,32,21,665
"63",89460800120136630272,"2022-07-29","05:04:43","2022-07-29 05:04:43",46.981438,-123.981422,1.32,3,0,1.79,16,4.13,0.03,0,7,2.35,NA,0,NA,32,25,665
"64",89460800120136630272,"2022-07-29","04:49:40","2022-07-29 04:49:40",46.981434,-123.982483,1.48,3,0,0.39,-249,4.12,0.03,0,7,3.29,NA,0,NA,32,48,665
"65",89460800120136630272,"2022-07-29","04:34:14","2022-07-29 04:34:14",46.981827,-123.981346,1.11,3,0,0.93,-35,4.12,0.03,0,9,1.97,NA,0,NA,32,26,665
"66",89460800120136630272,"2022-07-29","04:19:10","2022-07-29 04:19:10",46.981049,-123.98098,1.36,3,0,0.68,87,4.11,0.04,0,8,1.97,NA,0,NA,32,23,665
"67",89460800120136630272,"2022-07-29","04:03:39","2022-07-29 04:03:39",46.981926,-123.981956,1.33,3,0,0.57,144,4.13,0.09,0,8,1.93,NA,0,NA,32,15,665
"68",89460800120136630272,"2022-07-29","03:48:46","2022-07-29 03:48:46",46.982265,-123.981476,1.28,3,0,1,-75,4.13,0.22,0,9,1.57,NA,0,NA,32,25,665
"69",89460800120136630272,"2022-07-29","03:33:43","2022-07-29 03:33:43",46.982349,-123.980644,1.42,3,296,2.28,-76,4.13,0.44,0,9,2.23,NA,0,NA,32,23,665
"70",89460800120136630272,"2022-07-29","03:18:42","2022-07-29 03:18:42",46.982018,-123.981583,1.15,3,338,0.06,-24,4.13,0.67,0,11,2.22,NA,0,NA,33,23,665
"71",89460800120136630272,"2022-07-29","03:03:11","2022-07-29 03:03:11",46.98233,-123.982521,2.06,3,0,1.29,-23,4.13,0.62,0,8,2.54,NA,0,NA,33,13,665
"72",89460800120136630272,"2022-07-29","02:47:50","2022-07-29 02:47:50",46.982292,-123.98185,1.77,3,0,0.47,34,4.13,0.65,0,10,2.72,NA,0,NA,34,21,665
"73",89460800120136630272,"2022-07-29","02:33:21","2022-07-29 02:33:21",46.982403,-123.982529,1.82,3,0,1.1,-78,4.12,0.34,0,8,3.54,NA,0,NA,35,58,665
"74",89460800120136630272,"2022-07-29","02:17:45","2022-07-29 02:17:45",46.982571,-123.982323,1.68,3,0,0.54,-35,4.13,0.31,0,8,3.13,NA,0,NA,34,22,665
"75",89460800120136630272,"2022-07-29","02:02:45","2022-07-29 02:02:45",46.98278,-123.982521,1.48,3,0,1.29,-77,4.13,0.4,0,8,2.48,NA,0,NA,33,24,665
"76",89460800120136630272,"2022-07-29","01:47:43","2022-07-29 01:47:43",46.982349,-123.982185,1.08,3,0,0.76,-102,4.13,0.46,0,10,1.95,NA,0,NA,31,43,665
"77",89460800120136630272,"2022-07-29","01:31:52","2022-07-29 01:31:52",46.982334,-123.982643,1.09,3,0,0.51,-98,4.13,1.3,0,11,1.62,NA,0,NA,31,10,665
"78",89460800120136630272,"2022-07-29","01:17:04","2022-07-29 01:17:04",46.982037,-123.982346,1.01,3,0,0.55,-101,4.12,1.74,0,11,1.73,NA,1,NA,30,28,665
"79",89460800120136630272,"2022-07-29","01:01:28","2022-07-29 01:01:28",46.981922,-123.981758,1.21,3,0,0.7,27,4.13,3.74,0,11,2.09,NA,29,NA,28,11,665
"80",89460800120136630272,"2022-07-29","00:46:39","2022-07-29 00:46:39",46.982048,-123.981926,1.27,3,0,0.17,-42,4.14,3.75,0,10,1.69,NA,80,NA,29,42,665
"81",89460800120136630272,"2022-07-29","00:30:49","2022-07-29 00:30:49",46.981979,-123.980324,1.52,3,17,0.64,59,4.13,4.08,0,11,1.77,NA,1,NA,30,8,665
"82",89460800120136630272,"2022-07-29","00:15:33","2022-07-29 00:15:33",46.982101,-123.980339,1.02,3,110,0.57,13,4.13,3.31,0,11,1.13,NA,5,NA,30,10,665
"83",89460800120136630272,"2022-07-29","00:00:13","2022-07-29 00:00:13",46.982174,-123.980026,1.11,3,0,0.73,51,4.13,3.02,0,12,1.29,NA,0,NA,30,10,665
"84",89460800120136630272,"2022-07-28","23:44:55","2022-07-28 23:44:55",46.982128,-123.979935,1.21,3,0,0.7,50,4.14,3.71,0,10,1.47,NA,0,NA,30,7,665
"85",89460800120136630272,"2022-07-28","23:29:40","2022-07-28 23:29:40",46.982323,-123.980087,1.42,3,90,3.04,77,4.14,3.84,0,9,2.6,NA,0,NA,30,11,665
"86",89460800120136630272,"2022-07-28","23:14:21","2022-07-28 23:14:21",46.982025,-123.979271,1.56,3,334,5.16,29,4.14,4.17,0,12,1.88,NA,144,NA,29,10,665
"87",89460800120136630272,"2022-07-28","22:59:03","2022-07-28 22:59:03",46.98283,-123.978615,1.43,3,0,0.23,-11,4.11,4.9,0,10,1.6,NA,104,NA,30,8,665
"88",89460800120136630272,"2022-07-28","22:43:47","2022-07-28 22:43:47",46.981606,-123.97776,2.6,3,357,3.2,78,4.12,4.15,0,7,2.22,NA,172,NA,29,12,665
"89",89460800120136630272,"2022-07-28","22:28:27","2022-07-28 22:28:27",46.981415,-123.977737,1.87,3,319,3.77,86,4.13,3.03,0,8,2.38,NA,0,NA,30,14,665
"90",89460800120136630272,"2022-07-28","22:13:05","2022-07-28 22:13:05",46.982166,-123.977524,1.95,3,5,2.39,45,4.14,3.11,0,8,2.31,NA,0,NA,31,16,665
"91",89460800120136630272,"2022-07-28","21:58:11","2022-07-28 21:58:11",46.982029,-123.977776,2.02,3,0,0.75,76,4.13,3.06,0,8,2.21,NA,37,NA,32,29,665
"92",89460800120136630272,"2022-07-28","21:42:34","2022-07-28 21:42:34",46.982906,-123.978699,1.6,3,0,0.31,-60,4.11,4.36,0,9,1.72,NA,94,NA,34,16,665
"93",89460800120136630272,"2022-07-28","21:27:10","2022-07-28 21:27:10",46.982903,-123.979294,1.34,3,359,1.87,-9,4.14,4.91,0,9,1.33,NA,229,NA,37,9,665
"94",89460800120136630272,"2022-07-28","21:11:53","2022-07-28 21:11:53",46.982185,-123.981499,2.02,3,165,0.47,93,4.14,5.39,1,11,3.19,NA,49,NA,41,8,665
"95",89460800120136630272,"2022-07-28","20:56:37","2022-07-28 20:56:37",46.981861,-123.981308,1.21,3,19,0.87,64,4.14,5.81,5,11,1.46,NA,75,NA,35,6,665
"96",89460800120136630272,"2022-07-28","20:41:23","2022-07-28 20:41:23",46.981922,-123.981316,1.08,3,0,0.45,86,4.14,5.28,3,10,1.58,NA,65,NA,29,7,665
"97",89460800120136630272,"2022-07-28","20:26:08","2022-07-28 20:26:08",46.982506,-123.982147,1.36,3,21,0.47,1,4.13,4.72,0,9,1.66,NA,120,NA,29,11,665
"98",89460800120136630272,"2022-07-28","20:10:49","2022-07-28 20:10:49",46.982155,-123.981369,1.38,3,5,0.86,47,4.11,5.05,0,9,2.02,NA,55,NA,31,10,665
"99",89460800120136630272,"2022-07-28","19:55:31","2022-07-28 19:55:31",46.981915,-123.98027,1.45,3,107,2.43,13,4.13,5,0,10,2.73,NA,150,NA,34,9,665
"100",89460800120136630272,"2022-07-28","19:40:14","2022-07-28 19:40:14",46.981682,-123.979637,1.82,3,44,0.39,53,4.12,4.51,0,7,2.94,NA,89,NA,40,11,665
"101",89460800120136630272,"2022-07-28","19:24:55","2022-07-28 19:24:55",46.981895,-123.980072,1.74,3,79,4.75,22,4.13,5.85,8,7,2.84,NA,27,NA,42,8,665
"102",89460800120136630272,"2022-07-28","19:09:39","2022-07-28 19:09:39",46.981899,-123.980011,1.17,3,354,1.23,36,4.1,5.94,7,9,1.65,NA,105,NA,32,10,665
"103",89460800120136630272,"2022-07-28","18:54:21","2022-07-28 18:54:21",46.981976,-123.979805,1.47,3,358,1.03,22,4.1,5.16,0,10,1.5,NA,85,NA,28,12,665
"104",89460800120136630272,"2022-07-28","18:39:01","2022-07-28 18:39:01",46.981838,-123.979736,1.07,3,354,0.97,53,4.12,4.66,0,10,1.62,NA,81,NA,26,17,665
"105",89460800120136630272,"2022-07-28","18:23:36","2022-07-28 18:23:36",46.981701,-123.979424,1.64,3,0,0.09,91,4.13,4.26,0,9,2.23,NA,26,NA,28,17,665
"106",89460800120136630272,"2022-07-28","18:08:41","2022-07-28 18:08:41",46.981121,-123.979622,2.5,3,0,0.32,167,4.13,2.84,0,7,3.45,NA,14,NA,27,22,665
"107",89460800120136630272,"2022-07-28","17:53:41","2022-07-28 17:53:41",46.981491,-123.980042,2.02,3,0,2.36,111,4.11,4.17,0,8,2.91,NA,2,NA,28,27,665
"108",89460800120136630272,"2022-07-28","17:38:06","2022-07-28 17:38:06",46.981388,-123.979561,2.29,3,0,1.86,89,4.13,3.52,0,7,3.16,NA,39,NA,28,14,665
"109",89460800120136630272,"2022-07-28","17:22:44","2022-07-28 17:22:44",46.981438,-123.979546,1.48,3,6,4.39,88,4.13,3.89,0,8,2.57,NA,0,NA,29,8,665
"110",89460800120136630272,"2022-07-28","17:07:28","2022-07-28 17:07:28",46.98188,-123.979652,1.29,3,0,4.25,68,4.12,3.52,0,8,2.4,NA,0,NA,30,7,665
"111",89460800120136630272,"2022-07-28","16:52:13","2022-07-28 16:52:13",46.981918,-123.979736,1.45,3,0,1.03,67,4.13,3.12,0,7,2.12,NA,0,NA,30,6,665
"112",89460800120136630272,"2022-07-28","16:36:59","2022-07-28 16:36:59",46.981827,-123.979599,1.55,3,0,1.92,88,4.13,3.45,0,7,1.8,NA,0,NA,29,11,665
"113",89460800120136630272,"2022-07-28","16:21:40","2022-07-28 16:21:40",46.981964,-123.979805,1.52,3,355,1.27,112,4.13,3.69,0,7,2.19,NA,0,NA,28,10,665
"114",89460800120136630272,"2022-07-28","16:06:22","2022-07-28 16:06:22",46.981602,-123.97998,1.7,3,21,4.55,116,4.13,4.42,0,7,2.14,NA,0,NA,29,8,665
